,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,FINAL DIST,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MISC,NAME CHANGE,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,RECEIVERS DEED,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
923,4337019008,0,0,1,0,0,206800,187915,0,0,0,0,0,0,1969,0,0,0,0,0,1920,1920,5019,916,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
924,4336015004,1,0,0,0,0,98700,46898,0,0,0,0,0,0,1971,0,0,0,0,0,1925,1925,3891,1192,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
925,5531006035,0,0,0,0,0,185900,152108,0,0,0,0,0,0,1971,0,0,0,0,0,1922,1922,5675,1228,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
926,4336014017,1,0,0,0,0,226100,154350,0,0,0,0,0,0,1972,0,0,0,0,0,1926,1926,4060,1216,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
927,4336014007,0,0,1,0,0,75500,46898,0,0,0,0,0,0,1972,0,0,0,0,0,1924,1924,3957,484,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
928,5530012010,0,0,1,0,0,65600,52408,0,0,0,0,0,0,1972,0,0,0,0,0,1920,1920,3221,1358,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
929,4340022028,0,0,0,0,0,102600,56493,0,0,0,0,0,0,1972,0,0,0,0,0,1923,1923,4296,1667,0,0,1,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
930,5531023020,1,0,1,0,0,46100,37918,0,0,0,0,0,0,1976,0,0,0,0,0,1922,1922,3964,1120,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
931,4337011063,1,0,0,0,0,63400,55671,0,0,0,0,0,0,1976,0,0,0,0,0,1925,1925,5173,1200,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
932,4336014020,0,0,0,0,0,137800,76578,0,0,0,0,0,0,1979,0,0,0,0,0,1924,1924,4056,1366,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
933,4340023013,0,1,1,0,0,441400,398529,0,0,0,0,0,0,1980,0,0,0,0,0,1937,1937,5683,1270,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
934,4337009024,0,0,0,0,0,130700,83410,0,0,0,0,0,0,1980,0,0,0,0,0,1913,1913,5957,1721,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
935,4336005026,0,0,0,0,0,107800,53102,0,0,0,0,0,0,1982,0,0,0,0,0,1924,1924,4922,2022,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
936,4337007047,0,0,1,0,0,717200,466269,0,0,0,0,0,0,1982,0,0,0,0,0,1930,1930,3105,1020,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
937,4336014013,1,0,1,0,0,67100,43434,0,0,0,0,0,0,1985,0,0,0,0,0,1925,1925,3887,1122,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
938,4336014009,1,0,1,0,0,70300,44450,0,0,0,0,0,0,1985,0,0,0,0,0,1924,1924,3956,1028,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0
939,4337011045,1,0,1,0,0,5082100,5027679,0,0,0,0,0,0,1985,0,0,0,0,0,1940,1940,5664,683,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
940,5528014055,0,0,0,0,0,80000,71186,0,0,0,0,0,0,1986,0,0,0,0,0,1926,1926,4596,1408,0,0,1,0,0,0.0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
941,4336021016,0,0,0,0,0,295600,227610,0,0,0,0,0,0,1986,0,0,0,0,0,1924,1924,4990,1129,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
942,4336016009,0,0,1,0,0,78500,46896,0,0,0,0,0,0,1987,0,0,0,0,0,1936,1936,3963,1366,0,0,1,0,0,0.0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
943,5528004036,1,0,0,0,0,215500,155152,0,0,0,0,0,0,1987,0,0,0,0,0,1925,1925,5740,1400,0,0,1,0,0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
944,4340019026,0,0,0,0,0,80100,50169,0,0,0,0,0,0,1989,0,0,0,0,0,1924,1924,3150,1170,0,0,1,0,0,0.0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
