,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GIFT,GRANT DEED,INTERSPOUSAL,JOINT TENANT,MEMO AGREE SALE,NAME CHANGE,ORD OF CONDEMN,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,SHERIFFS,SPECIAL WARRANTY,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
92,5589032016,0,0,0,0,1,603587,414959,188628,0,1,7000,31,7671,2000,0,456000,1,364800,1,1922,1923,10506,2890,1,1,0,0,0,2.0,1,1,4,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
93,5551015036,0,0,0,0,1,687178,363802,323376,0,1,7000,47,8548,1998,0,0,1,560000,0,1923,1923,9002,4460,1,1,0,1,1,2.0,1,1,8,6,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
94,5550008004,0,0,1,0,0,69954,45538,24416,0,0,0,35,1035,2005,0,0,0,0,0,1922,1924,4729,1256,1,1,0,0,0,1.0,1,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
95,5550008016,1,0,0,0,0,356357,198640,157717,0,0,0,44,4499,2006,0,0,0,0,0,1911,1929,7000,1985,1,1,0,0,0,1.0,1,1,5,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
96,5550009015,0,0,0,0,1,843104,598301,244803,0,0,0,29,10269,2009,0,715000,1,572000,1,1916,1930,7000,1818,1,1,0,0,0,1.0,1,1,2,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
97,5589031033,0,0,0,0,0,523118,404076,119042,0,1,7000,23,6480,2009,0,0,0,0,0,1920,1930,7000,2768,1,1,0,0,0,2.0,1,1,5,5,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
98,5551022017,0,0,1,0,0,90454,39118,51336,0,0,0,57,1216,2016,0,0,0,0,0,1922,1930,6760,1888,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
99,5551020016,0,0,0,0,1,2142873,1089619,1053254,0,1,7000,49,25773,2015,0,0,0,0,0,1919,1931,8105,3045,1,1,1,0,0,2.0,1,1,5,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
100,5551025022,0,0,0,0,1,1363009,897951,465058,0,1,7000,34,16456,2010,0,1250000,0,0,0,1920,1933,8107,1746,1,1,0,0,0,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
101,5550011014,1,0,0,0,1,683532,546829,136703,0,1,7000,20,8301,2001,0,537000,1,387000,1,1932,1935,7027,2229,1,1,0,1,1,1.0,1,1,3,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
102,5550005027,0,0,0,0,0,401146,291345,109801,0,1,7000,27,4918,2005,0,0,0,0,0,1922,1937,7250,1755,1,1,0,0,0,1.0,1,1,2,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
103,5551026018,1,0,1,0,1,79891,40982,38909,0,1,7000,49,1124,2009,0,0,0,0,0,1937,1940,7550,1421,1,1,0,0,0,1.0,1,1,3,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,
104,5551027016,0,0,0,0,0,601501,406074,195427,0,1,7000,32,7358,2009,0,0,0,0,0,1919,1943,7102,1831,1,1,0,1,1,1.0,1,1,3,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
105,5550030007,0,0,0,0,1,855195,684159,171036,0,0,0,20,10447,2003,0,699000,1,559200,1,1919,1944,6765,1564,1,1,0,1,1,1.0,1,1,3,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
106,5550015019,0,0,0,0,1,1269738,911245,358493,0,0,0,28,15313,2014,0,0,0,0,0,1919,1945,7167,1763,1,1,0,1,1,1.0,1,1,3,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
107,5589033007,0,0,0,0,1,832188,624141,208047,0,0,0,25,10218,2013,0,800000,1,400000,1,1915,1950,7142,3658,1,1,0,0,0,2.0,1,1,5,3,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
108,5551028016,0,0,1,0,1,1289349,1031482,257867,0,0,0,20,15618,2016,0,1750000,1,1312500,1,1919,1951,6756,1489,1,1,1,1,1,1.0,1,1,2,2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
