,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,IN LIEU OF FORC,INTERSPOUSAL,JOINT TENANT,NAME CHANGE,Other,PARTNERSHIP,PERSONAL REP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
1053,4334015069,0,0,0,0,1,597512,380007,217505,0,0,0,36,7220,2007,0,0,1,600000,1,1984,1984,9100,1211,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
1054,4334015070,1,0,0,0,0,288689,132426,156263,0,0,0,54,3539,2014,0,0,0,0,0,1984,1984,9100,1212,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
1055,4334015071,0,0,0,0,1,634530,369144,265386,0,0,0,42,7662,2014,0,625000,1,400000,1,1984,1984,9100,1220,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
1056,4334015072,0,0,1,0,1,652690,377255,275435,0,0,0,42,7878,2009,0,600000,1,400000,1,1984,1984,9100,1217,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1057,4334015073,1,0,0,0,1,437527,154415,283112,0,0,0,65,5340,2009,0,0,0,0,0,1984,1984,9100,1830,0,0,12,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
1058,4333013035,0,0,1,0,1,356400,197676,158724,0,0,0,45,4351,2008,0,0,0,0,0,1985,1985,21648,1243,0,0,24,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
1059,4333013036,1,0,0,0,1,311184,109498,201686,0,1,7000,65,3738,2012,0,0,0,0,0,1985,1985,21648,1443,0,0,24,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0
1060,4333013037,1,0,1,0,1,704521,228501,476020,0,0,0,68,8509,2006,0,622500,1,222500,1,1985,1985,21648,1443,0,0,24,0,0,0.0,0,0,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1061,4333013038,0,0,0,0,1,537000,345000,192000,0,0,0,36,6504,2008,0,510000,1,408000,1,1985,1985,21648,1243,0,0,24,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1062,4333013039,0,0,0,0,1,600513,436335,164178,0,0,0,27,7178,2016,0,701500,1,525975,1,1985,1985,21648,1250,1,0,24,0,0,0.0,0,0,2,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
