,PARCEL,Owned by Trust?,Owned by Business?,MAIL DIFFERENT FROM SITE?,MAIL OUTSIDE CA?,TITLECO1,ASSDTOTAL,ASSDLAND,ASSDSTCT,ASSDOTHR,EXEMPTCD,EXMPTAMT,PCNTIMPD,TAXAMT,DOCDATE_YEAR,MULTIPARCEL,PRICE,LENDER1,LOANAMOUT1,LOANTYPE1,YEARBLT,EFFYRBLT,LOTSQFT,TOTALSF,GRGTYPE,BLDGMAT,TOTUNITS,QUALCLAS,BLDGCOND,NOSTORY,ROOFMAT,FOUNDATN,BEDROOMS,BATHROOMS,FAMILYRM,DININGRM,POOL,PATIO,FIREPLCE,AIRMTHOD,HEATMTHD,VIEW,Did it sell?,GRANT DEED,INTERSPOUSAL,JOINT TENANT,Other,PARTNERSHIP,QUIT CLAIM,RE-RECORD,TAX DEED,TRUST TRANSFER,TRUSTEES,WARRANTY,Prediction,Actual
54,2427002009,0,0,1,0,0,379305,50089,329216,0,1,1,87,4889,2008,0,0,0,0,0,1959,1963,51789,2519,1,1,0,1,1,1.0,1,1,4,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0
55,5577037016,1,0,0,0,1,839242,581833,257409,0,1,1,31,10508,2015,0,0,1,1000000,1,1965,1972,14505,4043,1,1,1,0,0,1.0,1,1,5,4,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
56,5577038031,0,0,0,0,1,1596331,1082259,514072,0,0,0,32,19712,2012,0,0,0,0,0,1965,1972,15688,2725,1,1,0,0,0,1.0,1,1,4,4,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,
57,5577037030,0,0,0,0,1,1796551,1353908,442643,0,0,0,25,21950,2012,0,1660000,0,0,0,1966,1980,17644,2752,1,1,0,1,1,2.0,1,1,4,3,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,
58,5577035030,0,0,0,0,0,1139110,849155,289955,0,1,1,25,14028,2014,0,0,0,0,0,1966,1968,11147,2751,1,1,1,0,0,2.0,1,1,4,3,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,
59,5577036020,1,0,1,0,1,1948769,1559016,389753,0,0,0,20,23774,2014,0,0,0,0,0,1974,1974,12162,2467,1,1,1,1,1,2.0,1,1,4,3,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
60,5577038033,0,1,0,0,1,2040000,1632000,408000,0,0,0,20,24838,2016,0,2000000,0,0,0,1965,1971,18597,2447,1,1,1,1,1,1.0,1,1,5,4,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
61,5577020005,1,0,0,0,0,161767,42223,119544,0,1,1,74,2344,1994,0,0,0,0,0,1959,1960,13840,2602,1,1,0,0,0,1.0,1,1,3,4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
62,5577036003,0,0,0,0,0,1046244,627749,418495,0,1,1,40,12837,2001,0,0,1,455000,1,1964,1968,15910,2460,1,1,0,0,0,1.0,1,1,4,3,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,
63,5577037006,1,0,0,0,1,356066,137929,218137,0,1,1,61,4693,2005,0,0,0,0,0,1965,1965,18845,2997,1,1,0,1,1,1.0,1,1,4,4,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,
64,5577037025,0,0,0,0,1,1179829,833006,346823,0,0,0,29,14513,2014,0,0,0,0,0,1966,1980,16742,2835,1,1,0,1,1,1.0,1,1,4,4,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,
65,5572004004,0,0,0,0,0,1668235,570034,1098201,0,1,1,66,20362,2011,0,0,0,0,0,1958,1974,15255,5037,1,1,0,1,1,1.0,1,1,5,4,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,,
66,5576015027,0,0,0,0,1,1900000,1520000,380000,0,0,0,20,23063,2016,0,1900000,0,0,0,1926,1937,10129,3142,1,1,1,1,1,2.0,1,1,4,3,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
67,2429004035,0,0,0,0,1,912596,730099,182497,0,0,0,20,11171,2013,0,860500,1,559061,1,1948,1966,9653,1324,1,1,0,0,0,1.0,1,1,3,2,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0
68,5579028014,0,0,0,0,1,916807,523970,392837,0,0,0,43,11399,2017,0,0,1,600245,1,1951,1955,12021,3092,1,1,1,1,1,2.0,1,1,3,3,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
69,5579025020,1,0,0,0,1,1459966,731499,728467,0,0,0,50,17884,2014,0,0,0,0,0,1956,1980,8135,2818,1,1,1,0,0,2.0,1,1,4,4,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
70,5585015034,0,0,0,0,0,1096500,873120,223380,0,0,0,20,13378,2015,0,1075000,1,698500,1,1961,1962,4665,2178,1,1,1,0,0,2.0,1,1,4,3,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
71,5572004024,1,0,0,0,0,1371222,1295307,75915,0,1,1,6,16786,2010,0,0,0,0,0,1948,1961,28809,2479,1,1,0,1,1,1.0,1,1,4,4,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
72,5580012019,0,0,0,0,0,250477,157444,93033,0,1,1,37,8597,1996,0,265000,0,0,0,1951,1951,6369,1129,1,1,0,1,1,1.0,1,1,2,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
73,5581025007,1,0,1,0,0,1362461,901228,461233,0,0,0,34,16661,0,0,0,0,0,0,1953,1953,5798,1485,1,1,0,1,1,1.0,1,1,3,2,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0
74,5581024008,0,1,1,0,0,2980596,2341716,638880,0,0,0,21,36136,2012,0,0,0,0,0,1959,2000,15896,3137,1,1,0,1,1,1.0,1,1,3,4,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,
75,2429003008,0,0,0,0,1,1220193,873765,346428,0,1,1,28,14947,2012,0,1150000,1,862500,1,1939,1954,10086,1788,0,1,0,0,0,2.0,1,1,3,4,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,
76,5585003044,1,0,0,0,0,1753500,1227600,525900,0,0,0,30,21260,2014,1,0,0,0,0,1948,1993,7783,2097,1,1,0,0,0,1.0,1,1,2,3,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,
